nomor_induk_kependudukan,nomor_kartu_keluarga,nama,tanggal_lahir,usia,jenis_kelamin,status_hubungan_keluarga,status_kawin,gaji_bulanan,gaji,desil_nasional,desil,provinsi,kabupaten_kota,kecamatan,kelurahan_desa,alamat,status_bantuan,pbi_nasional,pbi_pemda,partisipasi_sekolah,jenjang_tertinggi_yang_diduduki,ijazah_tertinggi_yang_dimiliki,status_bekerja,lapangan_usaha_dari_pekerjaan_utama,status_dalam_pekerjaan_utama,id_pelanggan_pln,daya_terpasang,status_kepemilikan_rumah,jenis_lantai_terluas,jenis_dinding_terluas,jenis_atap_terluas,sumber_air_minum_utama,sumber_penerangan_utama,bahan_bakar_utama_memasak,fasilitas_bab,jenis_kloset,pembuangan_akhir_tinja,kepemilikan_aset,aset_bergerak_sepeda_motor,aset_bergerak_mobil,aset_bergerak_tv_datar,aset_bergerak_smartphone,aset_bergerak_lemari_es,kondisi_gizi,penglihatan,pendengaran,berjalan_atau_naik_tangga
3201011775000011,3201012010180004,Irfan Lestari,1990-04-28,36,Laki-laki,Istri,Kawin/Nikah,2620521.0,2620521.0,7,7,Jawa Timur,Kota Surabaya,Tegalsari,Kedungdoro,Jl. Basuki Rahmat No. 11,PKH & BPNT,Tidak,Tidak,Tidak Sekolah Lagi,Magister (S2),Magister (S2),Ya,Jasa keuangan & asuransi,Berusaha sendiri,532100000004,2200 VA,Milik Sendiri,Keramik,Kayu,Genteng,Air Kemasan/Isi Ulang,Listrik PLN,Listrik,Sendiri,Leher Angsa,Tangki Septik,Ya,Ya,Tidak,Ya,Ya,Tidak,Normal,Tidak Ada Gangguan,Tidak Ada Gangguan,Tidak Ada Gangguan
3201012071000012,3201012010180004,Siti Lestari,1992-09-06,34,Perempuan,Anak,Belum Kawin,4164993.0,4164993.0,2,2,Jawa Timur,Kota Surabaya,Tegalsari,Kedungdoro,Jl. Basuki Rahmat No. 12,Bukan Penerima Bantuan,Tidak,Tidak,Tidak Sekolah Lagi,SMA/SMK/MA,SMA/SMK/MA,Ya,"Pertanian, kehutanan, dan perikanan",Berusaha sendiri,532100000004,450 VA,Bebas Sewa,Keramik,Tembok,Asbes,Air Kemasan/Isi Ulang,Listrik PLN,LPG 5.5 kg / 12 kg,Sendiri,Leher Angsa,Tangki Septik,Ya,Ya,Tidak,Ya,Ya,Ya,Normal,Tidak Ada Gangguan,Tidak Ada Gangguan,Tidak Ada Gangguan
3201012099000013,3201012010180005,Hendra Wibowo,2002-12-11,24,Laki-laki,Kepala Keluarga,Belum Kawin,8520092.0,8520092.0,8,8,Banten,Kota Tangerang,Tangerang,Sukarasa,Jl. Merdeka No. 13,PKH & BPNT,Tidak,Tidak,Tidak Sekolah Lagi,SMA/SMK/MA,SMA/SMK/MA,Ya,Perdagangan besar dan eceran,Berusaha sendiri,532100000005,450 VA,Milik Sendiri,Semen,Tembok,Asbes,Layanan Perpipaan (PDAM),Listrik PLN,LPG 3 kg,Sendiri,Leher Angsa,Tangki Septik,Ya,Ya,Ya,Ya,Ya,Ya,Normal,Tidak Ada Gangguan,Tidak Ada Gangguan,Tidak Ada Gangguan
3201011781000014,3201012010180005,Dedi Sartika,1988-09-23,38,Laki-laki,Istri,Kawin/Nikah,9637076.0,9637076.0,2,2,Banten,Kota Tangerang,Tangerang,Sukarasa,Jl. Merdeka No. 14,PBI APBD (Pemda),Tidak,Ya,Tidak Sekolah Lagi,Sarjana (S1),Sarjana (S1),Ya,Perdagangan besar dan eceran,Buruh/Karyawan/Pegawai,532100000005,900 VA,Kontrak/Sewa,Ubin/Teraso,Tembok,Asbes,Layanan Perpipaan (PDAM),Listrik PLN,LPG 3 kg,Sendiri,Leher Angsa,Tangki Septik,Ya,Ya,Ya,Ya,Ya,Ya,Normal,Tidak Ada Gangguan,Tidak Ada Gangguan,Tidak Ada Gangguan
3201012685000015,3201012010180005,Hendra Rahmawati,1965-11-14,61,Laki-laki,Anak,Belum Kawin,3192456.0,3192456.0,5,5,Banten,Kota Tangerang,Tangerang,Sukarasa,Jl. Merdeka No. 15,PBI APBD (Pemda),Tidak,Ya,Tidak Sekolah Lagi,Magister (S2),Magister (S2),Ya,Industri pengolahan,Pekerja bebas,532100000005,450 VA,Milik Sendiri,Keramik,Tembok,Asbes,Air Kemasan/Isi Ulang,Listrik PLN,LPG 5.5 kg / 12 kg,Sendiri,Leher Angsa,Tangki Septik,Ya,Ya,Tidak,Ya,Ya,Tidak,Normal,Tidak Ada Gangguan,Tidak Ada Gangguan,Tidak Ada Gangguan
3201011471000016,3201012010180006,Dedi Hidayat,1962-06-07,64,Laki-laki,Kepala Keluarga,Kawin/Nikah,13466871.0,13466871.0,10,10,Sumatera Utara,Kota Medan,Medan Baru,Petisah Tengah,Jl. Gajah Mada No. 16,PBI APBD (Pemda),Tidak,Ya,Tidak Sekolah Lagi,Diploma (D1-D4),Diploma (D1-D4),Ya,"Pertanian, kehutanan, dan perikanan",Buruh/Karyawan/Pegawai,532100000006,2200 VA,Milik Sendiri,Keramik,Kayu,Seng,Sumur Bor/Pompa,Listrik PLN,Listrik,Sendiri,Leher Angsa,Tangki Septik,Ya,Ya,Ya,Ya,Ya,Ya,Normal,Tidak Ada Gangguan,Tidak Ada Gangguan,Tidak Ada Gangguan
3201011382000017,3201012010180006,Siti Lestari,1974-04-27,52,Perempuan,Istri,Kawin/Nikah,3833286.0,3833286.0,4,4,Sumatera Utara,Kota Medan,Medan Baru,Petisah Tengah,Jl. Gajah Mada No. 17,PBI APBN (Kemenkes),Ya,Tidak,Tidak Sekolah Lagi,Diploma (D1-D4),Diploma (D1-D4),Ya,Industri pengolahan,Berusaha sendiri,532100000006,1300 VA,Milik Sendiri,Ubin/Teraso,Kayu,Asbes,Sumur Bor/Pompa,Listrik PLN,LPG 5.5 kg / 12 kg,Sendiri,Leher Angsa,Tangki Septik,Ya,Ya,Tidak,Ya,Ya,Ya,Normal,Tidak Ada Gangguan,Tidak Ada Gangguan,Tidak Ada Gangguan
3201012070000018,3201012010180006,Dewi Setiawan,1971-10-09,55,Perempuan,Anak,Belum Kawin,8845385.0,8845385.0,7,7,Sumatera Utara,Kota Medan,Medan Baru,Petisah Tengah,Jl. Gajah Mada No. 18,Bukan Penerima Bantuan,Tidak,Tidak,Tidak Sekolah Lagi,SMA/SMK/MA,SMA/SMK/MA,Tidak,Konstruksi,Buruh/Karyawan/Pegawai,532100000006,1300 VA,Milik Sendiri,Semen,Kayu,Genteng,Sumur Bor/Pompa,Listrik PLN,Listrik,Sendiri,Leher Angsa,Tangki Septik,Ya,Ya,Ya,Ya,Ya,Ya,Normal,Tidak Ada Gangguan,Tidak Ada Gangguan,Tidak Ada Gangguan
3201011681000019,3201012010180007,Irfan Umar,2002-06-20,24,Laki-laki,Kepala Keluarga,Belum Kawin,6245432.0,6245432.0,9,9,Bali,Kota Denpasar,Denpasar Selatan,Sidakarya,Jl. Raya Puputan No. 19,PKH & BPNT,Tidak,Tidak,Tidak Sekolah Lagi,Magister (S2),Magister (S2),Ya,Jasa keuangan & asuransi,Berusaha sendiri,532100000007,1300 VA,Bebas Sewa,Keramik,Tembok,Seng,Sumur Bor/Pompa,Listrik PLN,LPG 5.5 kg / 12 kg,Sendiri,Leher Angsa,Tangki Septik,Ya,Ya,Tidak,Ya,Ya,Ya,Normal,Tidak Ada Gangguan,Tidak Ada Gangguan,Tidak Ada Gangguan
3201012879000020,3201012010180007,Yuni Santoso,1979-05-07,47,Perempuan,Istri,Kawin/Nikah,14400603.0,14400603.0,8,8,Bali,Kota Denpasar,Denpasar Selatan,Sidakarya,Jl. Raya Puputan No. 20,PBI APBD (Pemda),Tidak,Ya,Tidak Sekolah Lagi,Magister (S2),Magister (S2),Ya,Administrasi pemerintahan,Buruh/Karyawan/Pegawai,532100000007,450 VA,Kontrak/Sewa,Semen,Kayu,Genteng,Air Kemasan/Isi Ulang,Listrik PLN,Listrik,Sendiri,Leher Angsa,Tangki Septik,Ya,Ya,Ya,Ya,Ya,Ya,Normal,Tidak Ada Gangguan,Tidak Ada Gangguan,Tidak Ada Gangguan
3201011470000021,3201012010180007,Siti Kusuma,1990-10-28,36,Perempuan,Anak,Belum Kawin,4055076.0,4055076.0,7,7,Bali,Kota Denpasar,Denpasar Selatan,Sidakarya,Jl. Raya Puputan No. 21,PBI APBN + PKH,Ya,Tidak,Tidak Sekolah Lagi,Magister (S2),Magister (S2),Tidak,Administrasi pemerintahan,Pekerja bebas,532100000007,450 VA,Milik Sendiri,Ubin/Teraso,Tembok,Genteng,Sumur Bor/Pompa,Listrik PLN,Listrik,Sendiri,Leher Angsa,Tangki Septik,Ya,Ya,Tidak,Ya,Ya,Ya,Normal,Tidak Ada Gangguan,Tidak Ada Gangguan,Tidak Ada Gangguan
3201011384000022,3201012010180008,Wawan Suryani,2002-09-18,24,Laki-laki,Kepala Keluarga,Belum Kawin,15639300.0,15639300.0,9,9,DKI Jakarta,Jakarta Selatan,Cilandak,Cilandak Barat,Jl. Mawar No. 22,PBI APBN + PKH,Ya,Tidak,Tidak Sekolah Lagi,Diploma (D1-D4),Diploma (D1-D4),Ya,Administrasi pemerintahan,Berusaha sendiri,532100000008,2200 VA,Kontrak/Sewa,Keramik,Kayu,Asbes,Layanan Perpipaan (PDAM),Listrik PLN,Listrik,Sendiri,Leher Angsa,Tangki Septik,Ya,Tidak,Ya,Ya,Ya,Ya,Normal,Tidak Ada Gangguan,Tidak Ada Gangguan,Tidak Ada Gangguan
3201011977000023,3201012010180008,Hendra Putri,1980-09-03,46,Laki-laki,Istri,Kawin/Nikah,3416314.0,3416314.0,4,4,DKI Jakarta,Jakarta Selatan,Cilandak,Cilandak Barat,Jl. Mawar No. 23,PBI APBN (Kemenkes),Ya,Tidak,Tidak Sekolah Lagi,Magister (S2),Magister (S2),Ya,Industri pengolahan,Berusaha sendiri,532100000008,2200 VA,Kontrak/Sewa,Keramik,Tembok,Seng,Layanan Perpipaan (PDAM),Listrik PLN,Listrik,Sendiri,Leher Angsa,Tangki Septik,Ya,Ya,Tidak,Ya,Ya,Tidak,Normal,Tidak Ada Gangguan,Tidak Ada Gangguan,Tidak Ada Gangguan
3201012882000024,3201012010180008,Nur Santoso,1982-05-25,44,Perempuan,Anak,Belum Kawin,3978751.0,3978751.0,8,8,DKI Jakarta,Jakarta Selatan,Cilandak,Cilandak Barat,Jl. Mawar No. 24,PBI APBD (Pemda),Tidak,Ya,Tidak Sekolah Lagi,Sarjana (S1),Sarjana (S1),Ya,Perdagangan besar dan eceran,Berusaha sendiri,532100000008,1300 VA,Bebas Sewa,Semen,Kayu,Asbes,Air Kemasan/Isi Ulang,Listrik PLN,LPG 5.5 kg / 12 kg,Sendiri,Leher Angsa,Tangki Septik,Ya,Ya,Tidak,Ya,Ya,Ya,Normal,Tidak Ada Gangguan,Tidak Ada Gangguan,Tidak Ada Gangguan
3201012770000025,3201012010180009,Yuni Santoso,1965-11-14,61,Perempuan,Kepala Keluarga,Kawin/Nikah,6724453.0,6724453.0,7,7,Jawa Barat,Kota Bogor,Bogor Tengah,Paledang,Jl. Pajajaran No. 25,PKH & BPNT,Tidak,Tidak,Tidak Sekolah Lagi,Diploma (D1-D4),Diploma (D1-D4),Ya,Industri pengolahan,Berusaha sendiri,532100000009,1300 VA,Kontrak/Sewa,Ubin/Teraso,Kayu,Seng,Air Kemasan/Isi Ulang,Listrik PLN,LPG 5.5 kg / 12 kg,Sendiri,Leher Angsa,Tangki Septik,Ya,Tidak,Tidak,Ya,Ya,Ya,Normal,Tidak Ada Gangguan,Tidak Ada Gangguan,Tidak Ada Gangguan
3201012177000026,3201012010180009,Teuku Rahmawati,1961-04-07,65,Laki-laki,Istri,Kawin/Nikah,4403035.0,4403035.0,8,8,Jawa Barat,Kota Bogor,Bogor Tengah,Paledang,Jl. Pajajaran No. 26,PBI APBN (Kemenkes),Ya,Tidak,Tidak Sekolah Lagi,Diploma (D1-D4),Diploma (D1-D4),Ya,Industri pengolahan,Pekerja bebas,532100000009,1300 VA,Kontrak/Sewa,Keramik,Tembok,Genteng,Layanan Perpipaan (PDAM),Listrik PLN,LPG 3 kg,Sendiri,Leher Angsa,Tangki Septik,Ya,Ya,Tidak,Ya,Ya,Ya,Normal,Tidak Ada Gangguan,Tidak Ada Gangguan,Tidak Ada Gangguan
3201012891000027,3201012010180009,Yuni Wijaya,2005-04-03,21,Perempuan,Anak,Belum Kawin,7237168.0,7237168.0,10,10,Jawa Barat,Kota Bogor,Bogor Tengah,Paledang,Jl. Pajajaran No. 27,PBI APBN (Kemenkes),Ya,Tidak,Masih Sekolah,SMP/MTs,SMP/MTs,Tidak,Industri pengolahan,Pekerja bebas,532100000009,1300 VA,Milik Sendiri,Semen,Kayu,Genteng,Layanan Perpipaan (PDAM),Listrik PLN,LPG 5.5 kg / 12 kg,Sendiri,Leher Angsa,Tangki Septik,Ya,Tidak,Tidak,Ya,Ya,Ya,Normal,Tidak Ada Gangguan,Tidak Ada Gangguan,Tidak Ada Gangguan
3201012492000028,3201012010180010,Wawan Kurniawan,1971-12-17,55,Laki-laki,Kepala Keluarga,Kawin/Nikah,16998163.0,16998163.0,8,8,Jawa Barat,Kota Bandung,Coblong,Dago,Jl. Ganesha No. 28,PBI APBN + PKH,Ya,Tidak,Tidak Sekolah Lagi,Sarjana (S1),Sarjana (S1),Ya,Jasa keuangan & asuransi,Buruh/Karyawan/Pegawai,532100000010,450 VA,Kontrak/Sewa,Ubin/Teraso,Tembok,Seng,Sumur Bor/Pompa,Listrik PLN,Listrik,Sendiri,Leher Angsa,Tangki Septik,Ya,Ya,Ya,Ya,Ya,Ya,Normal,Tidak Ada Gangguan,Tidak Ada Gangguan,Tidak Ada Gangguan
3201012597000029,3201012010180010,Cut Sartika,1991-04-12,35,Perempuan,Istri,Kawin/Nikah,7545945.0,7545945.0,9,9,Jawa Barat,Kota Bandung,Coblong,Dago,Jl. Ganesha No. 29,PBI APBN (Kemenkes),Ya,Tidak,Tidak Sekolah Lagi,Diploma (D1-D4),Diploma (D1-D4),Ya,Perdagangan besar dan eceran,Buruh/Karyawan/Pegawai,532100000010,2200 VA,Kontrak/Sewa,Semen,Tembok,Asbes,Layanan Perpipaan (PDAM),Listrik PLN,Listrik,Sendiri,Leher Angsa,Tangki Septik,Ya,Ya,Tidak,Ya,Ya,Ya,Normal,Tidak Ada Gangguan,Tidak Ada Gangguan,Tidak Ada Gangguan
3201011072000030,3201012010180010,Dedi Kusuma,1985-12-08,41,Laki-laki,Anak,Belum Kawin,8295567.0,8295567.0,7,7,Jawa Barat,Kota Bandung,Coblong,Dago,Jl. Ganesha No. 30,Bukan Penerima Bantuan,Tidak,Tidak,Tidak Sekolah Lagi,Sarjana (S1),Sarjana (S1),Tidak,Industri pengolahan,Berusaha sendiri,532100000010,1300 VA,Kontrak/Sewa,Keramik,Tembok,Asbes,Air Kemasan/Isi Ulang,Listrik PLN,LPG 5.5 kg / 12 kg,Sendiri,Leher Angsa,Tangki Septik,Ya,Tidak,Ya,Ya,Ya,Ya,Normal,Tidak Ada Gangguan,Tidak Ada Gangguan,Tidak Ada Gangguan
3201011576000031,3201012010180011,Rahmat Lestari,1977-12-19,49,Laki-laki,Kepala Keluarga,Kawin/Nikah,4351560.0,4351560.0,5,5,Jawa Tengah,Kota Semarang,Semarang Selatan,Randusari,Jl. Pandanaran No. 31,PBI APBD (Pemda),Tidak,Ya,Tidak Sekolah Lagi,Sarjana (S1),Sarjana (S1),Ya,"Pertanian, kehutanan, dan perikanan",Berusaha sendiri,532100000011,450 VA,Bebas Sewa,Semen,Tembok,Seng,Air Kemasan/Isi Ulang,Listrik PLN,LPG 3 kg,Sendiri,Leher Angsa,Tangki Septik,Ya,Ya,Tidak,Ya,Ya,Ya,Normal,Tidak Ada Gangguan,Tidak Ada Gangguan,Tidak Ada Gangguan
3201011490000032,3201012010180011,Nur Pratama,1960-10-10,66,Perempuan,Istri,Kawin/Nikah,4103936.0,4103936.0,1,1,Jawa Tengah,Kota Semarang,Semarang Selatan,Randusari,Jl. Pandanaran No. 32,PKH & BPNT,Tidak,Tidak,Tidak Sekolah Lagi,Magister (S2),Magister (S2),Ya,Perdagangan besar dan eceran,Buruh/Karyawan/Pegawai,532100000011,2200 VA,Kontrak/Sewa,Keramik,Tembok,Genteng,Air Kemasan/Isi Ulang,Listrik PLN,Listrik,Sendiri,Leher Angsa,Tangki Septik,Ya,Ya,Tidak,Ya,Ya,Tidak,Normal,Tidak Ada Gangguan,Tidak Ada Gangguan,Tidak Ada Gangguan
3201011773000033,3201012010180011,Tri Kurniawan,1998-10-26,28,Laki-laki,Anak,Belum Kawin,13690842.0,13690842.0,8,8,Jawa Tengah,Kota Semarang,Semarang Selatan,Randusari,Jl. Pandanaran No. 33,PKH & BPNT,Tidak,Tidak,Tidak Sekolah Lagi,Magister (S2),Magister (S2),Tidak,Konstruksi,Buruh/Karyawan/Pegawai,532100000011,450 VA,Milik Sendiri,Semen,Tembok,Seng,Sumur Bor/Pompa,Listrik PLN,LPG 3 kg,Sendiri,Leher Angsa,Tangki Septik,Ya,Tidak,Ya,Ya,Ya,Tidak,Normal,Tidak Ada Gangguan,Tidak Ada Gangguan,Tidak Ada Gangguan
3201011275000034,3201012010180012,Budi Kurniawan,1988-12-20,38,Laki-laki,Kepala Keluarga,Kawin/Nikah,5473802.0,5473802.0,5,5,Jawa Timur,Kota Surabaya,Tegalsari,Kedungdoro,Jl. Basuki Rahmat No. 34,PBI APBN + PKH,Ya,Tidak,Tidak Sekolah Lagi,SMA/SMK/MA,SMA/SMK/MA,Ya,Administrasi pemerintahan,Buruh/Karyawan/Pegawai,532100000012,1300 VA,Bebas Sewa,Semen,Tembok,Seng,Air Kemasan/Isi Ulang,Listrik PLN,Listrik,Sendiri,Leher Angsa,Tangki Septik,Ya,Tidak,Tidak,Ya,Ya,Tidak,Normal,Tidak Ada Gangguan,Tidak Ada Gangguan,Tidak Ada Gangguan
3201011896000035,3201012010180012,Wawan Umar,1963-03-26,63,Laki-laki,Istri,Kawin/Nikah,2522554.0,2522554.0,8,8,Jawa Timur,Kota Surabaya,Tegalsari,Kedungdoro,Jl. Basuki Rahmat No. 35,PKH & BPNT,Tidak,Tidak,Tidak Sekolah Lagi,Magister (S2),Magister (S2),Ya,Jasa keuangan & asuransi,Pekerja bebas,532100000012,2200 VA,Kontrak/Sewa,Keramik,Tembok,Seng,Sumur Bor/Pompa,Listrik PLN,LPG 5.5 kg / 12 kg,Sendiri,Leher Angsa,Tangki Septik,Ya,Ya,Tidak,Ya,Ya,Tidak,Normal,Tidak Ada Gangguan,Tidak Ada Gangguan,Tidak Ada Gangguan
3201011791000036,3201012010180012,Eko Santoso,2003-05-19,23,Laki-laki,Anak,Belum Kawin,14446846.0,14446846.0,5,5,Jawa Timur,Kota Surabaya,Tegalsari,Kedungdoro,Jl. Basuki Rahmat No. 36,PBI APBD (Pemda),Tidak,Ya,Tidak Sekolah Lagi,SMA/SMK/MA,SMA/SMK/MA,Ya,Industri pengolahan,Buruh/Karyawan/Pegawai,532100000012,2200 VA,Kontrak/Sewa,Ubin/Teraso,Kayu,Seng,Sumur Bor/Pompa,Listrik PLN,LPG 3 kg,Sendiri,Leher Angsa,Tangki Septik,Ya,Ya,Ya,Ya,Ya,Ya,Normal,Tidak Ada Gangguan,Tidak Ada Gangguan,Tidak Ada Gangguan
