nomor_induk_kependudukan,nomor_kartu_keluarga,nama,tanggal_lahir,usia,jenis_kelamin,status_hubungan_keluarga,status_kawin,gaji_bulanan,gaji,desil_nasional,desil,provinsi,kabupaten_kota,kecamatan,kelurahan_desa,alamat,status_bantuan,pbi_nasional,pbi_pemda,partisipasi_sekolah,jenjang_tertinggi_yang_diduduki,ijazah_tertinggi_yang_dimiliki,status_bekerja,lapangan_usaha_dari_pekerjaan_utama,status_dalam_pekerjaan_utama,id_pelanggan_pln,daya_terpasang,status_kepemilikan_rumah,jenis_lantai_terluas,jenis_dinding_terluas,jenis_atap_terluas,sumber_air_minum_utama,sumber_penerangan_utama,bahan_bakar_utama_memasak,fasilitas_bab,jenis_kloset,pembuangan_akhir_tinja,kepemilikan_aset,aset_bergerak_sepeda_motor,aset_bergerak_mobil,aset_bergerak_tv_datar,aset_bergerak_smartphone,aset_bergerak_lemari_es,kondisi_gizi,penglihatan,pendengaran,berjalan_atau_naik_tangga
3201011998000026,3201012010180009,Budi Rahmawati,1975-01-10,51,Laki-laki,Anak,Cerai Hidup,14955746.0,14955746.0,10,10,Jawa Barat,Kota Bogor,Bogor Tengah,Paledang,Jl. Pajajaran No. 26,PBI APBD (Pemda),Tidak,Ya,Masih Sekolah,SMP/MTs,SMP/MTs,Ya,Transportasi & Pergudangan,Pekerja keluarga/tidak dibayar,532100000009,Tanpa PLN,Kontrak/Sewa,Kayu/Papan,Plesteran Anyaman Bambu,Genteng Beton/Keramik,Layanan Perpipaan (PDAM),Bukan Listrik,Biogas,Umum,Tidak Ada Kloset,Kolam/Sawah/Sungai/Danau/Laut,Ya,Ya,Tidak,Tidak,Ya,Ya,Kurang Gizi,Gangguan Berat,Tuli Total,Gangguan Ringan
3201012392000027,3201012010180009,Hendra Suryani,1974-04-13,52,Laki-laki,Orang Tua/Mertua,Kawin/Nikah,8211167.0,8211167.0,5,5,Jawa Barat,Kota Bogor,Bogor Tengah,Paledang,Jl. Pajajaran No. 27,PBI APBN (Kemenkes),Ya,Tidak,Belum Sekolah,Diploma (D1-D4),Diploma (D1-D4),Tidak,Perdagangan besar dan eceran,Pekerja keluarga/tidak dibayar,532100000009,Tanpa PLN,Milik Sendiri,Bambu,Seng,Seng,Layanan Perpipaan (PDAM),Listrik Non PLN,LPG 5.5 kg / 12 kg,Bersama,Cemplung/Cubluk,Lubang Tanah,Ya,Ya,Ya,Tidak,Tidak,Ya,Wasting,Gangguan Ringan,Tidak Ada Gangguan,Gangguan Ringan
3201012093000028,3201012010180010,Irfan Sartika,1967-03-26,59,Laki-laki,Anak,Cerai Hidup,9242032.0,9242032.0,6,6,Jawa Barat,Kota Bandung,Coblong,Dago,Jl. Ganesha No. 28,PBI APBN (Kemenkes),Ya,Tidak,Tidak Sekolah Lagi,SD/MI,SD/MI,Ya,Industri pengolahan,Berusaha dibantu pekerja tidak tetap,532100000010,3500 VA,Bebas Sewa,Keramik,Seng,Genteng Tanah Liat,Sumur Bor/Pompa,Listrik PLN Dengan Meteran,Minyak Tanah,Umum,Cemplung/Cubluk,Pantai/Tanah Lapang/Kebun,Ya,Tidak,Ya,Ya,Tidak,Ya,Wasting,Gangguan Ringan,Tuli Total,Tidak Ada Gangguan
3201012499000029,3201012010180010,Dedi Kurniawan,1962-03-02,64,Laki-laki,Kepala Keluarga,Cerai Hidup,3343522.0,3343522.0,7,7,Jawa Barat,Kota Bandung,Coblong,Dago,Jl. Ganesha No. 29,PBI APBN + PKH,Ya,Tidak,Tidak Sekolah Lagi,Magister (S2),Magister (S2),Tidak,Jasa keuangan & asuransi,Berusaha dibantu pekerja tidak tetap,532100000010,Tanpa PLN,Milik Sendiri,Kayu/Papan,Plesteran Anyaman Bambu,Asbes,Sumur Bor/Pompa,Listrik PLN Dengan Meteran,Biogas,Umum,Plengsengan,Pantai/Tanah Lapang/Kebun,Ya,Tidak,Ya,Tidak,Ya,Tidak,Wasting,Tidak Ada Gangguan,Gangguan Ringan,Gangguan Ringan
3201011673000030,3201012010180010,Ahmad Umar,1997-04-21,29,Laki-laki,Kepala Keluarga,Kawin/Nikah,3610800.0,3610800.0,2,2,Jawa Barat,Kota Bandung,Coblong,Dago,Jl. Ganesha No. 30,Bukan Penerima Bantuan,Tidak,Tidak,Masih Sekolah,Sarjana (S1),Sarjana (S1),Ya,Industri pengolahan,Pekerja bebas,532100000010,900 VA,Milik Sendiri,Semen/Bata Merah,Kayu,Genteng Beton/Keramik,Mata Air Terlindung,Listrik Non PLN,LPG 5.5 kg / 12 kg,Sendiri,Leher Angsa,Lubang Tanah,Ya,Ya,Tidak,Ya,Tidak,Ya,Resiko Stunting,Gangguan Berat,Tidak Ada Gangguan,Tidak Ada Gangguan
3201012386000031,3201012010180011,Dewi Umar,1985-08-25,41,Perempuan,Anak,Kawin/Nikah,2447924.0,2447924.0,9,9,Jawa Tengah,Kota Semarang,Semarang Selatan,Randusari,Jl. Pandanaran No. 31,PKH & BPNT,Tidak,Tidak,Tidak Sekolah Lagi,Magister (S2),Magister (S2),Ya,Perdagangan besar dan eceran,Berusaha dibantu pekerja tidak tetap,532100000011,2200 VA,Dinas,Tanah,Tembok,Asbes,Air Hujan,Bukan Listrik,LPG 3 kg,Sendiri,Cemplung/Cubluk,Lubang Tanah,Ya,Ya,Ya,Tidak,Tidak,Tidak,Wasting,Buta Total,Tuli Total,Tidak Bisa Berjalan
3201012373000032,3201012010180011,Dewi Wibowo,1982-08-08,44,Perempuan,Orang Tua/Mertua,Cerai Hidup,2451056.0,2451056.0,6,6,Jawa Tengah,Kota Semarang,Semarang Selatan,Randusari,Jl. Pandanaran No. 32,PBI APBN + PKH,Ya,Tidak,Tidak Sekolah Lagi,Magister (S2),Magister (S2),Tidak,Administrasi pemerintahan,Berusaha sendiri,532100000011,Tanpa PLN,Dinas,Keramik,Tembok,Genteng Tanah Liat,Air Kemasan/Isi Ulang,Bukan Listrik,LPG 3 kg,Umum,Plengsengan,Tangki Septik,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Normal,Gangguan Berat,Tuli Total,Gangguan Ringan
3201012173000033,3201012010180011,Eko Wibowo,1964-11-16,62,Laki-laki,Istri,Kawin/Nikah,8283325.0,8283325.0,10,10,Jawa Tengah,Kota Semarang,Semarang Selatan,Randusari,Jl. Pandanaran No. 33,PBI APBD (Pemda),Tidak,Ya,Tidak Sekolah Lagi,Sarjana (S1),Sarjana (S1),Ya,Konstruksi,Buruh/Karyawan/Pegawai,532100000011,900 VA,Bebas Sewa,Tanah,Bambu,Seng,Sumur Bor/Pompa,Listrik PLN Dengan Meteran,LPG 5.5 kg / 12 kg,Bersama,Tidak Ada Kloset,Tangki Septik,Ya,Ya,Ya,Ya,Ya,Tidak,Kurang Gizi,Buta Total,Gangguan Ringan,Tidak Ada Gangguan
3201012179000034,3201012010180012,Cut Umar,1958-03-06,68,Perempuan,Kepala Keluarga,Kawin/Nikah,14574025.0,14574025.0,7,7,Jawa Timur,Kota Surabaya,Tegalsari,Kedungdoro,Jl. Basuki Rahmat No. 34,PKH & BPNT,Tidak,Tidak,Masih Sekolah,Sarjana (S1),Sarjana (S1),Ya,Administrasi pemerintahan,Berusaha dibantu pekerja tidak tetap,532100000012,450 VA,Bebas Sewa,Tanah,Plesteran Anyaman Bambu,Asbes,Mata Air Terlindung,Listrik Non PLN,LPG 3 kg,Bersama,Tidak Ada Kloset,Tangki Septik,Ya,Ya,Ya,Tidak,Ya,Ya,Wasting,Gangguan Berat,Gangguan Ringan,Tidak Ada Gangguan
3201011085000035,3201012010180012,Irfan Sartika,1963-07-18,63,Laki-laki,Istri,Cerai Hidup,1651153.0,1651153.0,8,8,Jawa Timur,Kota Surabaya,Tegalsari,Kedungdoro,Jl. Basuki Rahmat No. 35,PBI APBN (Kemenkes),Ya,Tidak,Tidak Sekolah Lagi,Sarjana (S1),Sarjana (S1),Tidak,Transportasi & Pergudangan,Berusaha dibantu pekerja tidak tetap,532100000012,1300 VA,Milik Sendiri,Kayu/Papan,Tembok,Seng,Layanan Perpipaan (PDAM),Bukan Listrik,Biogas,Umum,Leher Angsa,Pantai/Tanah Lapang/Kebun,Ya,Ya,Ya,Tidak,Tidak,Ya,Kurang Gizi,Gangguan Berat,Tuli Total,Gangguan Ringan
